externalId,symbol,longName,quantity,multiplier,offset,source,sourceReference
electric_charge:teracoulomb,TC,teracoulomb,electric charge,1000000000000,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electric_charge_per_area:coulomb_per_square_centimetre,C/cm2,coulomb per square centimetre,electric charge per area,10000,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electric_charge_per_area:coulomb_per_square_metre,C/m2,coulomb per square metre,electric charge per area,None,None,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electric_charge_per_area:coulomb_per_square_millimetre,C/mm2,coulomb per square millimetre,electric charge per area,1000000,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electric_charge_per_area:millicoulomb_per_square_metre,mC/m2,millicoulomb per square metre,electric charge per area,0.001,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electric_charge_per_mass:ampere_second_per_kilogram,A.s/kg,ampere second per kilogram,electric charge per mass,1,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electric_charge_per_mass:coulomb_per_gram,C/g,coulomb per gram,electric charge per mass,1000,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electric_charge_per_mass:coulomb_per_kilogram,C/kg,coulomb per kilogram,electric charge per mass,None,None,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electric_charge_per_volume:ampere_second_per_cubic_metre,A.s/m3,ampere second per cubic metre,electric charge per volume,1,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electric_charge_per_volume:coulomb_per_cubic_centimetre,C/cm3,coulomb per cubic centimetre,electric charge per volume,1000000,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electric_charge_per_volume:coulomb_per_cubic_metre,C/m3,coulomb per cubic metre,electric charge per volume,None,None,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electric_charge_per_volume:coulomb_per_cubic_millimetre,C/mm3,coulomb per cubic millimetre,electric charge per volume,1000000000,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electric_conductance:centisiemens,cS,centisiemens,electric conductance,0.01,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electric_conductance:decisiemens,dS,decisiemens,electric conductance,0.1,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electric_conductance:exasiemens,ES,exasiemens,electric conductance,1.00E+18,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electric_conductance:femtosiemens,fS,femtosiemens,electric conductance,1.00E-15,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electric_conductance:gigasiemens,GS,gigasiemens,electric conductance,1000000000,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electric_conductance:kilosiemens,kS,kilosiemens,electric conductance,1000,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electric_conductance:megasiemens,MS,megasiemens,electric conductance,1000000,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electric_conductance:microsiemens,uS,microsiemens,electric conductance,1.00E-06,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electric_conductance:millisiemens,mS,millisiemens,electric conductance,0.001,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electric_conductance:nanosiemens,nS,nanosiemens,electric conductance,1.00E-09,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electric_conductance:picosiemens,pS,picosiemens,electric conductance,1.00E-12,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electric_conductance:siemens,S,siemens,electric conductance,None,None,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electric_conductance:terasiemens,TS,terasiemens,electric conductance,1000000000000,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electric_conductivity:kilosiemens_per_metre,kS/m,kilosiemens per metre,electric conductivity,1000,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electric_conductivity:millisiemens_per_centimetre,mS/cm,millisiemens per centimetre,electric conductivity,0.1,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electric_conductivity:millisiemens_per_metre,mS/m,millisiemens per metre,electric conductivity,0.001,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electric_conductivity:siemens_per_metre,S/m,siemens per metre,electric conductivity,None,None,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electric_current:ampere,A,ampere,electric current,None,None,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electric_current:centiampere,cA,centiampere,electric current,0.01,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electric_current:deciampere,dA,deciampere,electric current,0.1,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electric_current:exaampere,EA,exaampere,electric current,1.00E+18,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electric_current:femtoampere,fA,femtoampere,electric current,1.00E-15,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electric_current:gigaampere,GA,gigaampere,electric current,1000000000,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electric_current:kiloampere,kA,kiloampere,electric current,1000,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electric_current:megaampere,MA,megaampere,electric current,1000000,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electric_current:microampere,uA,microampere,electric current,1.00E-06,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electric_current:milliampere,mA,milliampere,electric current,0.001,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electric_current:nanoampere,nA,nanoampere,electric current,1.00E-09,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electric_current:picoampere,pA,picoampere,electric current,1.00E-12,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electric_current:teraampere,TA,teraampere,electric current,1000000000000,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electric_current_density:ampere_per_square_centimetre,A/cm2,ampere per square centimetre,electric current density,10000,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electric_current_density:ampere_per_square_foot,A/ft2,ampere per square foot,electric current density,10.76391042,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electric_current_density:ampere_per_square_metre,A/m2,ampere per square metre,electric current density,None,None,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electric_current_density:ampere_per_square_millimetre,A/mm2,ampere per square millimetre,electric current density,1000000,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electric_current_density:microampere_per_square_centimetre,uA/cm2,microampere per square centimetre,electric current density,0.01,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electric_current_density:microampere_per_square_inch,uA/in2,microampere per square inch,electric current density,0.0015500031,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electric_current_density:milliampere_per_square_centimetre,mA/cm2,milliampere per square centimetre,electric current density,10,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electric_current_density:milliampere_per_square_foot,mA/ft2,milliampere per square foot,electric current density,0.01076391042,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electric_field_strength:microvolt_per_foot,uV/ft,microvolt per foot,electric field strength,3.28E-06,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electric_field_strength:microvolt_per_metre,uV/m,microvolt per metre,electric field strength,1.00E-06,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electric_field_strength:millivolt_per_foot,mV/ft,millivolt per foot,electric field strength,0.003280839895,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electric_field_strength:millivolt_per_metre,mV/m,millivolt per metre,electric field strength,0.001,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electric_field_strength:volt_per_metre,V/m,volt per metre,electric field strength,None,None,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electric_potential_difference:centivolt,cV,centivolt,electric potential difference,0.01,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electric_potential_difference:decivolt,dV,decivolt,electric potential difference,0.1,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electric_potential_difference:femtovolt,fV,femtovolt,electric potential difference,1.00E-15,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electric_potential_difference:gigavolt,GV,gigavolt,electric potential difference,1000000000,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electric_potential_difference:kilovolt,kV,kilovolt,electric potential difference,1000,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electric_potential_difference:megavolt,MV,megavolt,electric potential difference,1000000,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electric_potential_difference:microvolt,uV,microvolt,electric potential difference,1.00E-06,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electric_potential_difference:millivolt,mV,millivolt,electric potential difference,0.001,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electric_potential_difference:nanovolt,nV,nanovolt,electric potential difference,1.00E-09,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electric_potential_difference:picovolt,pV,picovolt,electric potential difference,1.00E-12,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electric_potential_difference:teravolt,TV,teravolt,electric potential difference,1000000000000,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electric_potential_difference:volt,V,volt,electric potential difference,None,None,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electric_resistance:centiohm,cohm,centiohm,electric resistance,0.01,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electric_resistance:deciohm,dohm,deciohm,electric resistance,0.1,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electric_resistance:exaohm,Eohm,exaohm,electric resistance,1.00E+18,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electric_resistance:femtoohm,fohm,femtoohm,electric resistance,1.00E-15,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electric_resistance:gigaohm,Gohm,gigaohm,electric resistance,1000000000,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electric_resistance:kilohm,kohm,kilohm,electric resistance,1000,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electric_resistance:megohm,Mohm,megohm,electric resistance,1000000,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electric_resistance:microohm,uohm,microohm,electric resistance,1.00E-06,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electric_resistance:milliohm,mohm,milliohm,electric resistance,0.001,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electric_resistance:nanoohm,nohm,nanoohm,electric resistance,1.00E-09,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electric_resistance:ohm,ohm,ohm,electric resistance,None,None,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electric_resistance:picoohm,pohm,picoohm,electric resistance,1.00E-12,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electric_resistance:teraohm,Tohm,teraohm,electric resistance,1000000000000,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electric_resistance_per_length:microhm_per_foot,uohm/ft,microhm per foot,electric resistance per length,3.28E-06,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electric_resistance_per_length:microhm_per_metre,uohm/m,microhm per metre,electric resistance per length,1.00E-06,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electric_resistance_per_length:ohm_per_metre,ohm/m,ohm per metre,electric resistance per length,None,None,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electrical_resistivity:kiloohm_metre,kohm.m,kiloohm metre,electrical resistivity,1000,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electrical_resistivity:nanoohm_square_mil_per_foot,nohm.mil2/ft,nanoohm square mil per foot,electrical resistivity,2.12E-18,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electrical_resistivity:nanoohm_square_milimetre_per_metre,nohm.mm2/m,nanoohm square milimetre per metre,electrical resistivity,1.00E-15,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electrical_resistivity:ohm_centimetre,ohm.cm,ohm centimetre,electrical resistivity,0.01,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electrical_resistivity:ohm_metre,ohm.m,ohm metre,electrical resistivity,None,None,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electrical_resistivity:ohm_square_metre_per_metre,ohm.m2/m,ohm square metre per metre,electrical resistivity,1,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
electromagnetic_moment:ampere_square_metre,A.m2,ampere square metre,electromagnetic moment,None,None,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy:british_thermal_unit,Btu[IT],British thermal unit,energy,1055.055853,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy:european_community_therm,therm[EC],European Community therm,energy,105506000,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy:united_kingdom_british_thermal_unit,Btu[UK],United Kingdom British thermal unit,energy,1055.055853,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy:united_kingdom_therm,therm[UK],United Kingdom therm,energy,105505585.3,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy:united_states_therm,therm[US],United States therm,energy,105480400,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy:attojoule,aJ,attojoule,energy,1.00E-18,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy:calorie,cal[th],calorie,energy,4.184,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy:calorie_[international_table],cal[IT],calorie [International Table],energy,4.1868,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy:centielectronvolt,ceV,centielectronvolt,energy,1.60E-21,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy:centijoule,cJ,centijoule,energy,0.01,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy:decielectronvolt,deV,decielectronvolt,energy,1.60E-20,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy:decijoule,dJ,decijoule,energy,0.1,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy:electronvolt,eV,electronvolt,energy,1.60E-19,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy:erg,erg,erg,energy,1.00E-07,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy:exaelectronvolt,EeV,exaelectronvolt,energy,0.1602176487,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy:exajoule,EJ,exajoule,energy,1.00E+18,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy:femtocalorie,fcal[th],femtocalorie,energy,4.18E-15,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy:femtoelectronvolt,feV,femtoelectronvolt,energy,1.60E-34,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy:femtojoule,fJ,femtojoule,energy,1.00E-15,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy:gigaelectronvolt,GeV,gigaelectronvolt,energy,1.60E-10,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy:gigajoule,GJ,gigajoule,energy,1000000000,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy:gigawatt_hour,GW.h,gigawatt hour,energy,3600000000000,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy:horsepower_hour,hp.h,horsepower hour,energy,2684519.538,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy:hundredth_of_calorie,ccal[th],hundredth of calorie,energy,0.04184,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy:joule,J,joule,energy,None,None,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy:kiloelectronvolt,keV,kiloelectronvolt,energy,1.60E-16,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy:kilojoule,kJ,kilojoule,energy,1000,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy:kilowatt_hour,kW.h,kilowatt hour,energy,3600000,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy:megaelectronvolt,MeV,megaelectronvolt,energy,1.60E-13,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy:megajoule,MJ,megajoule,energy,1000000,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy:megawatt_hour,MW.h,megawatt hour,energy,3600000000,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy:metric-horsepower_hour,hp[metric].h,metric-horsepower hour,energy,2647795.5,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy:microelectronvolt,ueV,microelectronvolt,energy,1.60E-25,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy:microjoule,uJ,microjoule,energy,1.00E-06,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy:millielectronvolt,meV,millielectronvolt,energy,1.60E-22,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy:millijoule,mJ,millijoule,energy,0.001,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy:million_btu,1E6 Btu[IT],million BTU,energy,1055055853,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy:million_calorie,Mcal[th],million calorie,energy,4184000,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy:million_million_calorie,Tcal[th],million million calorie,energy,4184000000000,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy:million_million_million_calorie,Ecal[th],million million million calorie,energy,4.18E+18,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy:millionth_of_calorie,ucal[th],millionth of calorie,energy,4.18E-06,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy:nanocalorie,ncal[th],nanocalorie,energy,4.18E-09,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy:nanoelectronvolt,neV,nanoelectronvolt,energy,1.60E-28,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy:nanojoule,nJ,nanojoule,energy,1.00E-09,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy:picocalorie,pcal[th],picocalorie,energy,4.18E-12,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy:picoelectronvolt,peV,picoelectronvolt,energy,1.60E-31,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy:picojoule,pJ,picojoule,energy,1.00E-12,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy:quad,quad,quad,energy,1.06E+18,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy:tenth_of_calorie,dcal[th],tenth of calorie,energy,0.4184,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy:teraelectronvolt,TeV,teraelectronvolt,energy,1.60E-07,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy:terajoule,TJ,terajoule,energy,1000000000000,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy:terrawatt_hour,TW.h,terrawatt hour,energy,3.6E+15,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy:thermochemical_british_thermal_unit,Btu[th],thermochemical British thermal unit,energy,1054.350264,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy:thousand_calorie,kcal[th],thousand calorie,energy,4184,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy:thousand_million_calorie,Gcal[th],thousand million calorie,energy,4184000000,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy:thousandth_of_calorie,mcal[th],thousandth of calorie,energy,0.004184,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy_length_per_area:joule_metre_per_square_metre,J.m/m2,joule metre per square metre,energy length per area,None,None,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy_length_per_area:thousand_calorie_metre_per_square_centimetre,kcal[th].m/cm2,thousand calorie metre per square centimetre,energy length per area,41840000,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy_length_per_time_area_temperature:btu_per_(hour_square_foot_delta_fahrenheit_per_inch),Btu[IT].in/(h.ft2.deltaF),BTU per (hour square foot delta Fahrenheit per inch),energy length per time area temperature,0.1442278889,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy_length_per_time_area_temperature:joule_metre_per_second_square_metre_delta_kelvin,J.m/(s.m2.deltaK),joule metre per second square metre delta kelvin,energy length per time area temperature,None,None,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy_length_per_time_area_temperature:kilojoule_metre_per_hour_square_metre_delta_kelvin,kJ.m/(h.m2.deltaK),kilojoule metre per hour square metre delta kelvin,energy length per time area temperature,0.2777777778,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy_length_per_time_area_temperature:watt_per_metre_delta_kelvin,W/(m.deltaK),watt per metre delta kelvin,energy length per time area temperature,None,None,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy_per_area:erg_per_square_centimetre,erg/cm2,erg per square centimetre,energy per area,0.001,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy_per_area:foot_pound-force_per_square_inch,lbf.ft/in2,foot pound-force per square inch,energy per area,2101.522023,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy_per_area:joule_per_square_centimetre,J/cm2,joule per square centimetre,energy per area,10000,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy_per_area:joule_per_square_metre,J/m2,joule per square metre,energy per area,None,None,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy_per_area:millijoule_per_square_centimetre,mJ/cm2,millijoule per square centimetre,energy per area,10,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy_per_area:millijoule_per_square_metre,mJ/m2,millijoule per square metre,energy per area,0.001,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy_per_area:newton_per_metre,N/m,newton per metre,energy per area,None,None,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy_per_area:thousand_gram-force_metre_per_square_centimetre,kgf.m/cm2,thousand gram-force metre per square centimetre,energy per area,98066.5,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy_per_length:joule_per_metre,J/m,joule per metre,energy per length,None,None,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy_per_length:megajoule_per_metre,MJ/m,megajoule per metre,energy per length,1000000,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy_per_mass:btu_per_pound-mass,Btu[IT]/lbm,BTU per pound-mass,energy per mass,2326,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy_per_mass:calorie_per_gram,cal[th]/g,calorie per gram,energy per mass,4184,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy_per_mass:calorie_per_kilogram,cal[th]/kg,calorie per kilogram,energy per mass,4.184,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy_per_mass:calorie_per_pound-mass,cal[th]/lbm,calorie per pound-mass,energy per mass,9.22414105,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy_per_mass:erg_per_gram,erg/g,erg per gram,energy per mass,0.0001,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy_per_mass:erg_per_kilogram,erg/kg,erg per kilogram,energy per mass,1.00E-07,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy_per_mass:foot_pound-force_per_pound-mass,lbf.ft/lbm,foot pound-force per pound-mass,energy per mass,2.98906692,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy_per_mass:horsepower_hour_per_pound-mass,hp.h/lbm,horsepower hour per pound-mass,energy per mass,5918352.502,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy_per_mass:joule_per_gram,J/g,joule per gram,energy per mass,1000,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy_per_mass:joule_per_kilogram,J/kg,joule per kilogram,energy per mass,None,None,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy_per_mass:kilojoule_per_kilogram,kJ/kg,kilojoule per kilogram,energy per mass,1000,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy_per_mass:kilowatt_hour_per_kilogram,kW.h/kg,kilowatt hour per kilogram,energy per mass,3600000,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy_per_mass:megajoule_per_kilogram,MJ/kg,megajoule per kilogram,energy per mass,1000000,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy_per_mass:megawatt_hour_per_kilogram,MW.h/kg,megawatt hour per kilogram,energy per mass,3600000000,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy_per_mass:thousand_calorie_per_gram,kcal[th]/g,thousand calorie per gram,energy per mass,4184000,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy_per_mass:thousand_calorie_per_kilogram,kcal[th]/kg,thousand calorie per kilogram,energy per mass,4184,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy_per_volume:btu_per_uk_gallon,Btu[IT]/gal[UK],BTU per UK gallon,energy per volume,232079.8428,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy_per_volume:btu_per_us_gallon,Btu[IT]/gal[US],BTU per US gallon,energy per volume,278716.2699,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy_per_volume:btu_per_barrel,Btu[IT]/bbl,BTU per barrel,energy per volume,6636.101665,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy_per_volume:btu_per_cubic_foot,Btu[IT]/ft3,BTU per cubic foot,energy per volume,37258.94581,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy_per_volume:us_ton-force_mile_per_barrel,tonf[US].mi/bbl,US ton-force mile per barrel,energy per volume,90053972.81,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy_per_volume:calorie_per_cubic_centimetre,cal[th]/cm3,calorie per cubic centimetre,energy per volume,4184000,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy_per_volume:calorie_per_cubic_millimetre,cal[th]/mm3,calorie per cubic millimetre,energy per volume,4184000000,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy_per_volume:calorie_per_millilitre,cal[th]/mL,calorie per millilitre,energy per volume,4184000,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy_per_volume:erg_per_cubic_centimetre,erg/cm3,erg per cubic centimetre,energy per volume,0.1,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy_per_volume:erg_per_cubic_metre,erg/m3,erg per cubic metre,energy per volume,1.00E-07,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy_per_volume:foot_pound-force_per_us_gallon,lbf.ft/gal[US],foot pound-force per US gallon,energy per volume,358.16921,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy_per_volume:foot_pound-force_per_barrel,lbf.ft/bbl,foot pound-force per barrel,energy per volume,8.527838334,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy_per_volume:horsepower_hour_per_barrel,hp.h/bbl,horsepower hour per barrel,energy per volume,16885119.9,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy_per_volume:joule_per_cubic_decimetre,J/dm3,joule per cubic decimetre,energy per volume,1000,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy_per_volume:joule_per_cubic_metre,J/m3,joule per cubic metre,energy per volume,None,None,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
energy_per_volume:kilojoule_per_cubic_decimetre,kJ/dm3,kilojoule per cubic decimetre,energy per volume,1000000,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
